cycle,coherence,epsilon,epsilon_gw,phi_poly
63,0.61647834,1701.5918079,0.170159181,0.6787849339219894
64,0.60683951,1726.20027876,0.172620028,0.6731056431142892
65,0.60605861,1728.22986177,0.172822986,0.6726383038863241
66,0.59556133,1758.57230679,0.175857231,0.6656708019612305
67,0.58545253,1788.77757902,0.178877758,0.6587706607761071
68,0.58365541,1794.25254131,0.179425254,0.657523782100315
69,0.58334253,1795.20903828,0.179520904,0.657306068227272
70,0.57930978,1807.62644923,0.180762645,0.6544829250840478
71,0.57178311,1831.25237938,0.183125238,0.649128182784275
72,0.56331252,1858.56746805,0.185856747,0.6429645893248463
73,0.55436612,1888.28956726,0.188828957,0.6362911011478903
74,0.54263346,1925.88423102,0.192588423,0.6278996151596589
75,0.54232618,1926.9652366,0.192696524,0.6276591442680465
76,0.53148847,1965.86537405,0.196586537,0.6190362626414794
77,0.5300995,1970.62861624,0.197062862,0.6179844866805632
78,0.52147107,2002.87768045,0.200287768,0.6108869460652965
79,0.52063969,2006.03963752,0.200603964,0.6101932417918483
80,0.51328631,2032.67352601,0.203267353,0.6043655730391385
81,0.50296321,2071.42132601,0.207142133,0.5959369784033933
82,0.49960248,2084.39240205,0.20843924,0.5931286065780115
83,0.49224434,2113.42947891,0.211342948,0.58686569856784
84,0.48724267,2133.68325322,0.213368325,0.5825168071608974
85,0.47987312,2164.31769142,0.216431769,0.5759695480066251
86,0.47638364,2180.00075909,0.218000076,0.5726319723756187
87,0.47614263,2181.03434805,0.218103435,0.5724123490281663
88,0.46651281,2223.23163639,0.222323164,0.5634817803623711
89,0.45799426,2264.1234838,0.226412348,0.5548941176650537
90,0.45110896,2298.27555193,0.229827555,0.5477721260801961
91,0.44245529,2342.67002595,0.234267003,0.5385825841801446
92,0.43930204,2359.27120567,0.235927121,0.5351660386408487
93,0.42724383,2422.06990387,0.24220699,0.5223397544630116
94,0.4192353,2467.74242542,0.246774243,0.5131085418561399
95,0.40964912,2522.41023276,0.252241023,0.5021667874969836
96,0.40293254,2563.90773357,0.256390773,0.49393931982995964
97,0.39153753,2634.76891925,0.263476892,0.4800462088357348
98,0.38609321,2670.130146,0.267013015,0.4731869073145685
99,0.37927071,2717.53983684,0.271753984,0.4640674163896745
100,0.36829704,2797.41724474,0.279741724,0.44890196848373776
101,0.36275279,2839.58117288,0.283958117,0.4409976678521996
102,0.36098465,2853.29592599,0.285329593,0.4384416462086018
103,0.36057096,2856.42456943,0.285642457,0.43785959355091053
104,0.35185129,2924.10886456,0.292410886,0.42536159479270086
105,0.35064453,2934.03494866,0.293403495,0.42354383566601084
106,0.3477546,2958.08164407,0.295808164,0.41915619475559185
107,0.33949394,3027.05999875,0.302706,0.4066959967978967
108,0.33042236,3106.84037515,0.310684038,0.39251724853160397
109,0.32197778,3185.2017729,0.318520177,0.3788336817356971
110,0.32070895,3197.64164311,0.319764164,0.376683565130291
111,0.30846712,3322.85526344,0.332285526,0.35537952847570475
112,0.30748647,3333.07663646,0.333307664,0.3536675936487902
113,0.30587988,3350.35096455,0.335035096,0.35078370263262326
114,0.30267226,3384.612557,0.338461256,0.3450984683804328
115,0.29682091,3449.04161221,0.344904161,0.3345320476561021
116,0.29423372,3478.35494421,0.347835494,0.32977851915927225
117,0.29240229,3499.42235637,0.349942236,0.326382983836479
118,0.28963604,3531.75361323,0.353175361,0.3212058546044585
119,0.27914051,3662.82928176,0.366282928,0.3006370077779773
120,0.27405603,3729.90308919,0.372990309,0.29037216872980287
121,0.26552847,3848.1119611,0.384811196,0.2727111982640681
122,0.26542523,3849.56444521,0.384956445,0.2724975983411496
123,0.26134816,3908.82789191,0.390882789,0.26385297076745484
124,0.25234304,4044.29313748,0.404429314,0.24461021784472226
125,0.24512044,4160.1940709,0.416019407,0.22871783997368944
126,0.23301782,4370.63187052,0.437063187,0.20120915327717226
127,0.22709896,4483.19160867,0.448319161,0.18720811721825736
128,0.21798957,4666.10720308,0.46661072,0.16551548694493257
129,0.21554761,4718.37115578,0.471837116,0.15955833423274457
130,0.20535872,4947.33001982,0.494733002,0.1347237181026203
131,0.19950381,5090.94030139,0.50909403,0.12019582549985897
132,0.19699006,5155.20475332,0.515520475,0.11395666398491366
133,0.1926849,5268.10996535,0.526810997,0.10338742243052024
134,0.19105568,5312.17049673,0.53121705,0.09939845893556676
135,0.19000211,5341.32007244,0.534132007,0.09680128582661163
136,0.18029916,5623.3940154,0.562339402,0.07339044627257452
137,0.17766892,5705.18718606,0.570518719,0.06718558589816093
138,0.17401374,5822.97464431,0.582297464,0.058711152918454745
139,0.16297027,6211.06523884,0.621106524,0.03463901238975731
140,0.15839208,6388.97346404,0.638897346,0.025578411082303854
141,0.14836138,6814.62112957,0.681462113,0.00893837248784135
142,0.14162986,7134.17284387,0.713417284,0.0011154492259741744
143,0.13403925,7533.10503763,0.753310504,-0.0030303596481580097
144,0.13394684,7538.24136636,0.753824137,-0.0030430408981085844
145,0.13156318,7673.79001469,0.767379001,-0.0030037667136608714
146,0.12127698,8317.23225353,0.831723225,0.007011336062525908
147,0.12120984,8321.8078795,0.832180788,0.0071406971897118865
148,0.11923122,8458.95493938,0.845895494,0.011399224668625196
149,0.11233704,8972.84644517,0.897284645,0.03391638279588616
150,0.10495449,9598.11586857,0.959811587,0.07528084463504725
151,0.1,10069.2804391,1.00692804,0.11658052322839652
152,0.1,10067.9440999,1.00679441,0.11645107569610236
153,0.1,10068.02063993,1.00680206,0.11645848802919234
154,0.1,10068.07408535,1.00680741,0.11646366395715901
155,0.1,10069.18445147,1.00691845,0.11657122283396437
156,0.1,10070.62887759,1.00706289,0.11671121377510318
