cycle,coherence,epsilon,epsilon_gw,phi_reconstructed,phi_pred,eps_pred,dphi,deps,entropy_flux,closure_energy,phase_shift,harmonic_ratio,resonance_intensity,harmonic_energy
70,0.61351799,1680.40543711,0.168040544,0.6293024763670916,,,-0.00018879999999998898,0.5240934900000411,0.0003602410700421,1030.9589661607986,-0.0003602410551462636,0.9999998702263877,0.9996398238238717,1030.9588323695293
71,0.60754007,1695.725984,0.169572598,0.6275970963601558,,,-0.00597791999999997,15.320546889999832,0.0003901897264197,1030.2214830201788,-0.0003901897066433353,0.9999998477520005,0.9996098864074603,1030.221326171019
72,0.60653965,1698.3207981,0.16983208,0.6256254234647507,,,-0.0010004200000000019,2.5948141000001215,0.0003855459239312,1030.0989024672947,-0.0003855459049766208,0.9999998513543626,0.9996145284082951,1030.0987493475868
73,0.60576557,1700.33469458,0.170033469,0.6234800063982022,,,-0.0007740800000000103,2.0138964799998575,0.0003843693095961,1030.0042154530297,-0.0003843692908581225,0.9999998522602555,0.9996157045695542,1030.00406328047
74,0.59344444,1733.13026455,0.173313026,0.6207663275065473,,,-0.012321130000000013,32.79556997000009,0.0003756949493756,1028.5165192929264,-0.0003756949317110599,0.9999998588533249,0.9996243756327926,1028.5163741212393
75,0.59083612,1740.25624931,0.174025625,0.6206882977616096,,,-0.0026083199999999973,7.1259847599999375,0.0003660294103174,1028.206250148073,-0.0003660293940222525,0.9999998660224887,0.9996340375865639,1028.2061123915585
76,0.58885426,1746.19043413,0.174619043,0.6178803864432789,,,-0.001981860000000002,5.934184820000155,0.0003339734200705,1028.2516759086998,-0.0003339734077098663,0.9999998884617671,0.9996660823552007,1028.251561219325
77,0.58605761,1753.95866257,0.175395866,0.6175365634510223,,,-0.002796649999999956,7.7682284399998025,0.0003600112974587,1027.9208218245706,-0.00036001128195158657,0.9999998703918824,0.9996400535143339,1027.9206885976878
78,0.57984118,1771.50597147,0.177150597,0.6152087435939015,,,-0.0062164300000000505,17.54730890000019,0.0003542668585292,1027.192112874211,-0.0003542668437287064,0.9999998744950086,0.9996457959013598,1027.1919839564737
79,0.57145948,1795.79535333,0.179579535,0.614980505453192,,,-0.008381699999999936,24.28938185999982,0.0003450767108016,1026.224278800378,-0.00034507669711888566,0.9999998809220778,0.9996549828349967,1026.224156599723
80,0.55989788,1833.31737581,0.183331738,0.6130580033273743,,,-0.01156160000000006,37.52202248000003,0.0003081283799628,1026.4705120831825,-0.00030812837021950497,0.9999999050569104,0.9996919190964514,1026.4704146269007
81,0.55255211,1856.17996231,0.185617996,0.6102610881154353,,,-0.007345769999999918,22.862586500000134,0.0003213009166604,1025.6361547141112,-0.0003213009056180703,0.9999998967657315,0.9996787507059901,1025.636048833313
82,0.54951763,1866.53787627,0.186653788,0.6093248027033219,,,-0.0030344800000000616,10.357913959999905,0.0002929624643944,1025.6954700731235,-0.0002929624560413562,0.9999999141730019,0.9997070804532686,1025.6953820407603
83,0.54339158,1886.3184144,0.188631841,0.6072288323003578,,,-0.006126049999999994,19.780538129999968,0.0003097008766611,1025.0095435839107,-0.00030970086677519203,0.9999999040853763,0.9996903470855878,1025.0094452705061
84,0.53953508,1899.93527667,0.189993528,0.6057668631184477,,,-0.0038565000000000405,13.616862269999956,0.0002832150258443,1025.0817314929704,-0.00028321501829284035,0.9999999197892555,0.9997168250832946,1025.0816492704016
85,0.53654218,1909.91491227,0.190991491,0.6035555910924029,,,-0.002992899999999965,9.979635600000165,0.0002999007298122,1024.7499106438545,-0.0002999007208512034,0.9999999100595602,0.9997001442448747,1024.749818477397
86,0.53595654,1911.88119935,0.19118812,0.6024235471947857,,,-0.0005856399999999429,1.9662870800000292,0.0002978405369484,1024.6852324946765,-0.0002978405282929278,0.9999999112910223,0.999702203821794,1024.685141595897
87,0.53217075,1924.70009656,0.19247001,0.6023489401026381,,,-0.003785790000000011,12.818897209999932,0.000295328836614,1024.2690939114077,-0.000295328828051006,0.9999999127808857,0.9997047147772146,1024.2690045755646
88,0.52477882,1950.28165805,0.195028166,0.5993030320082247,,,-0.0073919300000000465,25.581561490000013,0.0002889553869727,1023.4665071791223,-0.00028895537894195174,0.9999999165047913,0.9997110863646428,1023.4664217245727
89,0.52068397,1965.75906902,0.196575907,0.5963513539757863,,,-0.004094849999999983,15.477410969999937,0.0002645694430207,1023.5392361208376,-0.0002645694368647764,0.9999999300030148,0.9997354655585424,1023.5391644761768
90,0.51684526,1980.48402097,0.198048402,0.593886170433186,,,-0.003838710000000023,14.724951950000104,0.0002606942292765,1023.603778744085,-0.00026069422338852026,0.9999999320385233,0.9997393397543979,1023.6037091784607
91,0.5100228,2005.54694062,0.200554694,0.5906816638621661,,,-0.006822459999999975,25.062919649999913,0.0002722132973732,1022.874666186446,-0.0002722132906604544,0.9999999258999261,0.9997278237560158,1022.8745903913577
92,0.49835901,2052.83548436,0.205283548,0.5894833482908305,,,-0.011663790000000007,47.28854374000002,0.0002466514947866,1023.04905967852,-0.00024665148978999135,0.9999999391630439,0.999753378926188,1023.0489974393292
93,0.49771579,2055.35152284,0.205535152,0.5849503777922335,,,-0.0006432199999999999,2.516038480000134,0.0002556479182879,1022.9809069180136,-0.0002556479128201706,0.9999999346441462,0.999744384762323,1022.9808400602229
94,0.49035099,2086.4120467,0.208641205,0.5816536184848458,,,-0.007364800000000005,31.06052385999965,0.0002371112616438,1023.0742126472712,-0.00023711125720786357,0.9999999437782529,0.9997629168514446,1023.0741551282515
95,0.48147262,2125.08319368,0.212508319,0.5777075564644836,,,-0.008878369999999969,38.67114698000023,0.0002295864150179,1023.1693729790773,-0.00022958641099005725,0.9999999472900807,0.9997704399419532,1023.1693190479021
96,0.46904838,2178.60723722,0.217860724,0.5747121608220745,,,-0.01242424000000003,53.52404354000009,0.0002321244655307,1021.8721952743168,-0.0002321244613660096,0.9999999461182355,0.9997679024774323,1021.8721402140399
97,0.4580396,2231.16941956,0.223116942,0.5695972193759946,,,-0.011008779999999996,52.56218233999971,0.0002094429780061,1021.9639484674944,-0.0002094429749476105,0.9999999561336408,0.9997905789567011,1021.9639036376568
98,0.45536222,2244.3272828,0.224432728,0.5670447556745744,,,-0.002677380000000007,13.157863240000097,0.00020348136707,1021.9818539023756,-0.000203481364277197,0.999999958595335,0.9997965393366515,1021.9818115875593
