cycle,coherence,epsilon,epsilon_gw,phi_reconstructed,phi_pred,eps_pred,dphi,deps,entropy_flux,closure_energy
40,0.77570755,1347.99728348,0.134799728,0.6594711674431776,,,-0.007621050000000018,13.456706890000078,0.000566338411152956,1045.6516701749263
41,0.76769806,1360.48596473,0.136048596,0.659371545963656,,,-0.008009490000000064,12.4886812499999,0.0006413399332582684,1044.4424357804494
42,0.75713773,1377.38693047,0.137738693,0.6588261734541748,,,-0.010560330000000007,16.900965739999947,0.0006248358917373442,1042.8716138677235
43,0.74490559,1397.6074196,0.139760742,0.658069891158234,,,-0.012232139999999947,20.220489130000033,0.000604937888532422,1041.0855794855156
44,0.74478438,1397.84044361,0.139784044,0.6569666714114932,,,-0.00012120999999998272,0.23302401000000827,0.0005201609889033213,1041.0897281329987
45,0.74290776,1401.45726841,0.140145727,0.6552706396258023,,,-0.0018766199999999955,3.6168248000001313,0.0005188584195399979,1041.153480010192
46,0.74254103,1402.07806074,0.140207806,0.6545595830052046,,,-0.0003667299999999818,0.6207923299998583,0.000590745055450863,1041.1004873622821
47,0.73287494,1418.6804872,0.141868049,0.653178673568133,,,-0.009666090000000072,16.60242646000006,0.0005822094753863965,1039.7153769358708
48,0.73086312,1422.19504756,0.142219505,0.6518931775524027,,,-0.0020118199999999975,3.514560359999905,0.0005724243698656032,1039.4299097082499
49,0.72992197,1423.84631741,0.142384632,0.6509772503933844,,,-0.0009411499999999462,1.6512698500000624,0.0005699552979968448,1039.2967089811525
50,0.72521478,1432.17384039,0.143217384,0.6504966995472348,,,-0.004707190000000083,8.327522979999912,0.0005652569210244168,1038.6336365801887
51,0.71899401,1444.85066014,0.144485066,0.6491001236610783,,,-0.006220769999999987,12.67681975000005,0.0004907200798141223,1038.8389699852057
52,0.71611957,1450.77826544,0.145077827,0.649092853805138,,,-0.0028744399999999226,5.927605300000096,0.00048492432509211633,1038.9307076122388
53,0.70906782,1463.81952977,0.146381953,0.6485494692357088,,,-0.007051750000000023,13.041264329999876,0.0005407259465815431,1037.947322847439
54,0.70387321,1473.60426711,0.147360427,0.6472019374409208,,,-0.005194609999999988,9.784737339999992,0.0005308890590484776,1037.2305657604131
55,0.69654305,1487.67567571,0.148767568,0.6462767717694797,,,-0.0073301599999999745,14.07140860000004,0.0005209258154495654,1036.2301525698545
56,0.68555908,1509.35964066,0.150935964,0.6441911170418857,,,-0.010983970000000065,21.683964950000018,0.0005065480425199409,1034.75520664
57,0.68324524,1514.02182184,0.151402182,0.6431819732545832,,,-0.0023138400000000114,4.662181180000061,0.0004962998884362707,1034.448203028308
58,0.68284976,1514.9169279,0.151491693,0.6413886259939121,,,-0.0003954800000000036,0.8951060599999892,0.0004418247370129342,1034.4606606364523
59,0.67386067,1535.53095025,0.153553095,0.6409294102870774,,,-0.008989089999999922,20.614022349999914,0.00043606676304801294,1034.7339149412016
60,0.66963547,1544.38743208,0.154438743,0.6407684312572304,,,-0.00422520000000004,8.85648183000012,0.00047707431467997584,1034.176603942984
61,0.6606047,1565.88588981,0.156588589,0.6395293207757348,,,-0.009030769999999966,21.498457729999927,0.0004200659467296555,1034.4315784721682
62,0.65939737,1568.51266335,0.156851266,0.6384543045860214,,,-0.001207330000000062,2.626773539999931,0.0004596246997144904,1034.2731250246852
63,0.65152315,1585.89639845,0.15858964,0.6369563277168032,,,-0.007874219999999932,17.383735100000195,0.00045296479463420255,1033.2482170917992
64,0.64021152,1611.65789333,0.161165789,0.6351800254108428,,,-0.011311630000000017,25.761494879999873,0.00043909059052092486,1031.8019496087973
65,0.6397295,1612.89264576,0.161289265,0.6350335249232136,,,-0.00048202000000008294,1.2347524300000714,0.00039037785057015616,1031.815005825722
66,0.62777279,1644.09979296,0.164409979,0.6328433297109988,,,-0.011956709999999982,31.20714720000001,0.00038314011604421305,1032.1211140649216
67,0.62315793,1655.34262398,0.165534262,0.6306630359812686,,,-0.004614859999999998,11.24283102000004,0.0004104713475974231,1031.5398830001452
68,0.61770618,1668.85143295,0.166885143,0.6302678392136148,,,-0.0054517499999999774,13.50880896999979,0.00040356999730350703,1030.8598436350705
